"UAI";"Etablissement";"Référence.GALAXIE";"N..dans.le.SI.local";"Article";"Corps";"Chaire";"Section";"Section2";"Section3";"Date.de.prise.de.fonction";"Date.ouverture.cand";"Date.clôture.cand";"Profil";"Localisation";"Etat.de.vacance";"Rentrée";"Code.section"
"0350937D";"UNIVERSITE RENNES 2";"4333 *";"0374";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychopathologie clinique et clinique psychanalytique";"RENNES";"S";"2019";"16"
"0350937D";"UNIVERSITE RENNES 2";"4334 *";"0408";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie clinique et psychocriminologie";"RENNES";"";"2019";"16"
"0350937D";"UNIVERSITE RENNES 2";"4335 *";"0846";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychopathologie clinique et clinique psychanalytique";"RENNES";"";"2019";"16"
"0383493R";"UNIVERSITE GRENOBLE ALPES";"407 *";"26MCF0091";"26-I-1";"MCF";"Non";16;69;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Neuroplasticité des réseaux cognitifs ; approche multidisciplinaire, méthodologie comportementale, de neuropsychologie et/ou neuroimagerie.";"Grenoble";"S";"2019";"16"
"0440984F";"UNIVERSITE DE NANTES";"4512 *";"2245";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie - Méthodologie";"Nantes";"";"2019";"16"
"0442764R";"ESPE ACADEMIE NANTES";"4524 *";"0193";"26-I-1";"MCF";"Non";16;70;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie du développement; psychologie de l'éducation";"Le Mans";"";"2019";"16"
"0450855K";"UNIVERSITE D'ORLEANS";"4363 *";"MCF0142";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître.sse de conférences en psychologie";"ESPE CVL - Blois (+Cf Profil)";"";"2019";"16"
"0490970N";"UNIVERSITE D'ANGERS";"4325 *";"16MCF0676";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Théorie/méthodologie en psychologie sociale tous niveaux du cursus+formation continue(DU).Assurer/développer enseignements sur la psychologie sociale en lien avec les notions de risques/de sécurité.";"A";"";"2019";"16"
"0490970N";"UNIVERSITE D'ANGERS";"4326 *";"16MCF0467";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie clinique et psychopathologie psychanalytique tous niveaux du cursus LMD ou/et formation continue.Enseignements fondamentaux,optionnels,transversaux";"ANGERS";"";"2019";"16"
"0511296G";"UNIVERSITE DE REIMS";"4381 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychopathologie et psychologie clinique";"REIMS";"";"2019";"16"
"0542493S";"UNIVERSITE DE LORRAINE";"1175 *";"16MCF0020";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie du développement, psychologie cognitive et neuropsychologie";"NANCY MAXEVILLE";"S";"2019";"16"
"0542493S";"UNIVERSITE DE LORRAINE";"1178 *";"16MCF0460";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie de la santé, psychologie clinique";"METZ";"";"2019";"16"
"0596870X";"COMUE LILLE NORD DE FRANCE";"53 *";"1953";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Elle-il devra dispenser ses enseignements dans le cadre de la mention premier degré du Master Métier de l'Enseignement de l'Éducation et de la Formation (MEEF)";"Villeneuve d'ascq";"";"2019";"16"
"0601223D";"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE";"4113 *";"0048";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie expérimentale, cognition sociale et technologies cognitives";"COMPIEGNE";"";"2019";"16"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"159 *";"0002";"26-I-1";"MCF";"Non";16;69;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie sociale expérimentale";"CLERMONT-FERRAND";"";"2019";"16"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"160 *";"0003";"26-I-1";"MCF";"Non";16;69;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie sociale expérimentale";"CLERMONT-FERRAND";"";"2019";"16"
"0673021V";"UNIVERSITE DE STRASBOURG";"4568 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie clinique orientation TCC";"Strasbourg";"";"2019";"16"
"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";"4530";"0013";"26-I-1";"MCF";"Non";16;70;NA;"01/09/2019";"06/02/2019";"08/03/2019";"Psychologie de l¿éducation et école inclusive";"ESPE";"S";"2019";"16"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4375 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Ergonomie du travail et des systèmes de production";"LYON";"";"2019";"16"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4382 *";"";"26-I-1";"MCF";"Non";16;27;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie Cognitive";"BRON";"";"2019";"16"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4383 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"psychologie sociale";"BRON";"";"2019";"16"
"0730858L";"UNIVERSITE DE SAVOIE MONT-BLANC";"4261 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Enseignement en psychologie et méthodes en psychologie et neurosciences pour le grade licence.Recherche en psychologie cognitive/neurosciences cognitives avec des compétences méthodologiques fortes";"CHAMBERY";"S";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4352";"16MCF1907";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Psychologie clinique appliquée aux publics du social";"IUT";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4368";"16MCF0114";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Psychologie clinique et Psychopathologie intégrative : vulnérabilité, interventions et processus de changement";"Institut de Psychologie";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4369";"16MCF1696";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Psychologie de l¿éducation et du développement";"Institut de Psychologie";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4370";"16MCF1862";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Clinique psychanalytique de la périnatalité et de la première enfance";"Institut de Psychologie";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4371";"PARCOURSUP1";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Neuropsychologie Cognitive et Clinique";"Institut de Psychologie";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4389";"PARCOURSUP5";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Psychologie sociale";"Institut de Psychologie";"";"2019";"16"
"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";"4390";"PARCOURSUP6";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"08/01/2019";"27/02/2019";"Psychologie différentielle cognitive";"Institut de Psychologie";"";"2019";"16"
"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";"4207 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"PSYCHOPATHOLOGIE PSYCHODYNAMIQUE DU TRAVAIL";"PARIS";"";"2019";"16"
"0801344B";"UNIVERSITE D'AMIENS";"4442 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"NEUROPSYCHOLOGIE";"CAMPUS";"";"2019";"16"
"0801344B";"UNIVERSITE D'AMIENS";"4443 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"PSYCHOLOGIE SOCIALE";"CAMPUS";"";"2019";"16"
"0802142U";"ESPE ACADEMIE AMIENS";"4461 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"PSYCHOLOGIE DU DEVELOPPEMENT, PSYCHOLOGIE SOCIALE";"POLE CITADELLE";"";"2019";"16"
"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";"4137 *";"";"26-I-1";"MCF";"Non";16;69;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Neuropsychologie clinique";"ALBI";"";"2019";"16"
"0860856N";"UNIVERSITE DE POITIERS";"4594 *";"";"26-I-1";"MCF";"Non";16;70;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie du langage ecrit, developpement/apprentissage chez l enfant et l adolescent. Difficultes d apprentissage, situations de handicap.Seminaire MEEF 1er/2nd degre, Master IPHD, CAPPEI.";"Niort";"";"2019";"16"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4515 *";"0251";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychopathologie clinique psychanalytique";"NANTERRE";"";"2019";"16"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4518 *";"0830";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie cognitive et neuropsychologie";"NANTERRE";"";"2019";"16"
"0931238R";"UNIVERSITE PARIS 13";"4326 *";"0260";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Psychologie";"Villetaneuse";"";"2019";"16"
"0931827F";"UNIVERSITE PARIS 8";"4457 *";"";"26-I-1";"MCF";"Non";16;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître de conférences en Ergonomie";"2 RUE DE LA LIBERTE - SAINT DENIS";"";"2019";"16"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"748 *";"51224";"26-I-1";"MCF";"Non";17;72;70;"01/09/2019";"21/02/2019";"26/03/2019";"Philosophie, Épistémologie et logique, humanités numériques et formation des enseignants";"AIX MARSEILLE";"";"2019";"17"
"0251215K";"UNIVERSITE DE BESANCON";"4504 *";"0295";"26-I-2";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Philosophie générale, philosophie moderne";"BESANCON";"";"2019";"17"
"0311383K";"UNIVERSITE TOULOUSE 2";"4454";"";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"PHILOSOPHIE ET SCIENCES HUMAINES ET SOCIALES";"TOULOUSE";"";"2019";"17"
"0440984F";"UNIVERSITE DE NANTES";"4509 *";"0981";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Philosophie allemande et philosophie générale";"Nantes";"";"2019";"17"
"0632035V";"UNIVERSITE CLERMONT AUVERGNE";"157 *";"0986";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Histoire de la philosophie ancienne";"CLERMONT-FERRAND";"";"2019";"17"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4523 *";"1885";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"HISTOIRE DE LA PHILOSOPHIE ANCIENNE";"12 place du Pantheon";"";"2019";"17"
"0751723R";"UNIVERSITE PARIS 7 (DENIS DIDEROT)";"4413";"E773010040";"26-I-1";"MCF";"Non";17;72;NA;"01/09/2019";"04/02/2019";"06/03/2019";"Histoire et philosophie des mathématiques";"Site PRG";"";"2019";"17"
"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";"159";"";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"25/01/2019";"25/02/2019";"Esthétique et philosophie de l'art";"UFR Philosophie 1, rue V. Cousin, Paris";"";"2019";"17"
"0801344B";"UNIVERSITE D'AMIENS";"4444 *";"";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"PHILOSOPHIE MORALE ET POLITIQUE";"CAMPUS CITADELLE";"";"2019";"17"
"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";"4508 *";"0230";"26-I-1";"MCF";"Non";17;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Philosophie de langue allemande";"NANTERRE";"";"2019";"17"
"0251215K";"UNIVERSITE DE BESANCON";"4505 *";"0086";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Musicologie et analyse XXe-XXIe siècles. Musique et Arts";"BESANCON";"";"2019";"18"
"0311383K";"UNIVERSITE TOULOUSE 2";"4455";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"Études théâtrales. Histoire du théâtre. Dramaturgies françaises et européennes";"TOULOUSE";"";"2019";"18"
"0311383K";"UNIVERSITE TOULOUSE 2";"4456";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"ARTS PLASTIQUES ET THEORIES DE L¿ART";"TOULOUSE";"";"2019";"18"
"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";"4250 *";"170";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Etudes theatrales et spectacle vivant. Ecritures dramatiques du XIXe  au XXIe siecle";"Montpellier";"S";"2019";"18"
"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";"4251 *";"538";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Etudes theatrales : Cirque";"Montpellier";"";"2019";"18"
"0350937D";"UNIVERSITE RENNES 2";"4349 *";"0288";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Arts plastiques";"Rennes";"S";"2019";"18"
"0350937D";"UNIVERSITE RENNES 2";"4350 *";"0409";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Design graphique";"Rennes";"";"2019";"18"
"0350937D";"UNIVERSITE RENNES 2";"4351 *";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Histoire du cinéma";"Rennes";"";"2019";"18"
"0421095M";"UNIVERSITE DE SAINT-ETIENNE";"4264 *";"0512";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"ESTHETIQUE ET SCIENCES DE L'ART";"UFR ALL ST ETIENNE";"";"2019";"18"
"0542493S";"UNIVERSITE DE LORRAINE";"1179 *";"18/19MCF0071";"26-I-1";"MCF";"Non";18;19;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie des arts et de la culture - Musiques actuelles/amplifiées";"METZ";"";"2019";"18"
"0670190T";"INSA DE STRASBOURG";"4086 *";"";"26-I-1";"MCF";"Non";18;24;NA;"01/09/2019";"21/02/2019";"26/03/2019";"intégrera les champs disciplinaires du paysage et de l urbanisme.Il sera chargé d un atelier de troisième année : ""Projet Villes et Formulaires Urbains"", enseignement théorique,";"STRASBOURG";"";"2019";"18"
"0673021V";"UNIVERSITE DE STRASBOURG";"4569 *";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Pratique et théorie des arts plastiques";"Strasbourg";"";"2019";"18"
"0730858L";"UNIVERSITE DE SAVOIE MONT-BLANC";"4248 *";"670";"26-I-1";"MCF";"Non";18;71;NA;"01/09/2019";"21/02/2019";"26/03/2019";"E:Communication visuelle.Dispositifs interactifs et hypermédias:implications communicationnelles et artistiques.R:Interactivité et virtualité (usages;conception;recherche-création).";"CHAMBERY";"S";"2019";"18"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4502 *";"2274";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Philosophie de l¿art et esthétique, théorie des arts et de la culture contemporains";"Ecole des arts de la Sorbonne";"";"2019";"18"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4504 *";"2060";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Arts plastiques";"Ecole des arts de la Sorbonne";"";"2019";"18"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4505 *";"20356";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Écritures et pratiques cinématographiques";"Ecole des arts de la Sorbonne";"";"2019";"18"
"0751723R";"UNIVERSITE PARIS 7 (DENIS DIDEROT)";"4410";"E463010042";"26-I-1";"MCF";"Non";18;71;NA;"01/09/2019";"04/02/2019";"06/03/2019";"Le cinéma documentaire : théorie et pratique";"Site PRG";"";"2019";"18"
"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";"165";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"25/01/2019";"25/02/2019";"Musiques du XXe siècle, histoire, langages, analyse, outils numériques";"UFR Musique et musicologie, Cligancourt";"";"2019";"18"
"0801344B";"UNIVERSITE D'AMIENS";"4433 *";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"ESTHETIQUE DU CINEMA ET ANALYSE DU FILM";"AMIENS";"";"2019";"18"
"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";"4187 *";"";"26-I-1";"MCF";"Non";18;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"cf fiche de poste";"EVRY";"";"2019";"18"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"732 *";"51244";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie générale, sociologie de la déviance";"AIX EN PROVENCE";"";"2019";"19"
"0311383K";"UNIVERSITE TOULOUSE 2";"4457";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"Sociologie du travail et de la formation";"TOULOUSE";"";"2019";"19"
"0311383K";"UNIVERSITE TOULOUSE 2";"4478";"";"26-I-2";"MCF";"Non";19;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"Sociologie de l'alimentation";"TOULOUSE";"";"2019";"19"
"0311713U";"UNIV. TOULOUSE 2 (IUT BLAGNAC)";"4458";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"14/02/2019";"18/03/2019";"Santé, habitat, vieillissement, dépendance";"BLAGNAC";"";"2019";"19"
"0333298F";"UNIVERSITE DE BORDEAUX";"397 *";"";"26-I-1";"MCF";"Non";19;5;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Economie gestion ; Démographie";"Pessac";"S";"2019";"19"
"0333298F";"UNIVERSITE DE BORDEAUX";"403 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie de la jeunesse, ingénierie pédagogique";"BORDEAUX";"S";"2019";"19"
"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";"4262 *";"293";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie des cultures numeriques : ethique environnementale etdeveloppement social en reseaux";"Montpellier";"";"2019";"19"
"0350937D";"UNIVERSITE RENNES 2";"4336 *";"0498";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie de la mondialisation";"RENNES";"S";"2019";"19"
"0383493R";"UNIVERSITE GRENOBLE ALPES";"404 *";"19MCF0978";"33";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie de sport, sociologie de la jeunesse, socialisation.";"Grenoble";"S";"2019";"19"
"0421095M";"UNIVERSITE DE SAINT-ETIENNE";"4265 *";"0487";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"ENQUETE ET PROBLEMES PUBLICS";"UFR SHS ST ETIENNE";"S";"2019";"19"
"0450855K";"UNIVERSITE D'ORLEANS";"4364 *";"MCF0666";"33";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître.sse de conférences pour enseigner la sociologie du corps et de la motricité dans les formations du pôle STAPS UFR Sciences et Techniques, à Orléans et Bourges. Laboratoire ERCAE.";"UFR ST - Orleans (+Cf Profil)";"S";"2019";"19"
"0511296G";"UNIVERSITE DE REIMS";"4378 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître de conférences en sociologie ¿ section CNU 19";"CHALONS EN CHAMPAGNE";"";"2019";"19"
"0542493S";"UNIVERSITE DE LORRAINE";"1180 *";"19MCF0276";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie de la santé et/ou des âges";"NANCY";"";"2019";"19"
"0561718N";"UNIVERSITE DE BRETAGNE SUD (LORIENT)";"4123 *";"0308";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie et démographie, politiques et acteurs de la santé et du social";"LORIENT";"";"2019";"19"
"0596870X";"COMUE LILLE NORD DE FRANCE";"56 *";"1956";"26-I-1";"MCF";"Non";19;70;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Le/la candidat(e) recruté(e) interviendra dans la formation initiale et continue des enseignants.dispenser ses enseignements en sociologie et en sciences de l¿éducation du 1er degré du Master MEEF";"GRAVELINES";"";"2019";"19"
"0596870X";"COMUE LILLE NORD DE FRANCE";"57 *";"1957";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"exercera son enseignement dans master mention «encadrement éducatif», Mention «pratiques et ingénierie de la formation» et dans actions de formation continue avec les CPE et cadres de l¿éducation.";"Villeneuve d'ascq";"";"2019";"19"
"0673021V";"UNIVERSITE DE STRASBOURG";"4570 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie du travail";"Strasbourg";"";"2019";"19"
"0673021V";"UNIVERSITE DE STRASBOURG";"4571 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie économique";"Strasbourg";"";"2019";"19"
"0673021V";"UNIVERSITE DE STRASBOURG";"4572 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie des inégalités et du genre";"Strasbourg";"";"2019";"19"
"0673021V";"UNIVERSITE DE STRASBOURG";"4573 *";"";"26-I-1";"MCF";"Non";19;71;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Journalisme et médias";"Strasbourg";"";"2019";"19"
"0690187D";"ECOLE CENTRALE DE LYON";"4055 *";"0111";"26-I-2";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sciences sociales ; sociologie du monde économique ; sociologie des morales sociales, économiques et professionnelles";"ECULLY";"";"2019";"19"
"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";"4387 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"sociologie du travail social";"BRON";"";"2019";"19"
"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";"4187 *";"MCF0221";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie de la socialisation";"15 parvis Rene Descartes, Lyon";"";"2019";"19"
"0750736T";"UNIVERSITE PARIS-DAUPHINE";"4231 *";"0104";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître de conférences en sociologie urbaine";"Paris";"";"2019";"19"
"0750736T";"UNIVERSITE PARIS-DAUPHINE";"4232 *";"0118";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Maître de conférences en sociologie du travail";"Paris";"";"2019";"19"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4489 *";"14262";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Sociologie des politiques sociales, de leurs agents et/ou de leurs publics";"Centre Pantheon et Centre PMF";"";"2019";"19"
"0761904G";"UNIVERSITE DE ROUEN";"4448 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Enseignement : Sociologie du travail et de la santé au travail Recherche : Santé au travail";"Mont-Saint-Aignan";"";"2019";"19"
"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";"4188 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"cf. fiche de poste";"EVRY";"";"2019";"19"
"0941111X";"UNIVERSITE PARIS EST CRETEIL (PARIS 12";"4640 *";"1328";"26-I-1";"MCF";"Non";19;70;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Les transformations du travail social : formations, métiers, pratiques";"Pyramide";"S";"2019";"19"
"9740478B";"UNIVERSITE DE LA REUNION";"4250 *";"";"26-I-1";"MCF";"Non";19;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"éducation, interculturalité et pluralisme religieux";"CAMPUS UNIVERSITAIRE DU MOUFIA";"";"2019";"19"
"0673021V";"UNIVERSITE DE STRASBOURG";"4574 *";"";"26-I-1";"MCF";"Non";20;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Ethnologie générale - Europe";"Strasbourg";"";"2019";"20"
"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";"4491 *";"2211";"26-I-1";"MCF";"Non";20;21;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Archéozoologie des sociétés agro-pastorales.-Zones géographiques:continent eurasiatique,zone méditerranéenne-Chronologie:Néolithique à l'époque médiévale";"Universite de Paris 1, UFR 03, Michelet";"";"2019";"20"
"0751719L";"UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)";"4281 *";"";"26-I-1";"MCF";"Non";20;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Anthropologie de l Amérique latine";"IHEAL";"";"2019";"20"
"0134009M";"UNIVERSITE AIX-MARSEILLE";"735 *";"52116";"26-I-1";"MCF";"Non";21;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Archéologie maritime méditerranéenne";"AIX EN PROVENCE";"";"2019";"21"
"0251215K";"UNIVERSITE DE BESANCON";"4506 *";"1486";"26-I-1";"MCF";"Non";21;NA;NA;"01/09/2019";"21/02/2019";"26/03/2019";"Antiquités nationales - Archéologie de la Gaule romaine";"BESANCON";"";"2019";"21"
